accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0.32713332772254944,2.200909376144409,0.6173999905586243,0.5983333587646484,1.1532801389694214,0.859000027179718
0.6504666805267334,1.0648969411849976,0.8927333354949951,0.765333354473114,0.795263409614563,0.9449999928474426
0.8125333189964294,0.6085325479507446,0.959933340549469,0.8586666584014893,0.44788429141044617,0.9773333072662354
0.8688666820526123,0.432110995054245,0.9742666482925415,0.9246666431427002,0.2585222125053406,0.9853333234786987
0.9089333415031433,0.3035750985145569,0.9858666658401489,0.9290000200271606,0.2497829645872116,0.9896666407585144
0.9064000248908997,0.3134915232658386,0.984333336353302,0.9166666865348816,0.3115655183792114,0.987666666507721
0.9240000247955322,0.25599777698516846,0.9887999892234802,0.921999990940094,0.2838417887687683,0.987333357334137
0.9291333556175232,0.25014254450798035,0.9896666407585144,0.9123333096504211,0.32373785972595215,0.984000027179718
0.9304666519165039,0.25537213683128357,0.9890000224113464,0.9256666898727417,0.2833158075809479,0.9860000014305115
0.9425333142280579,0.19305238127708435,0.9934666752815247,0.9516666531562805,0.1883421391248703,0.9909999966621399
0.9441333413124084,0.20151183009147644,0.9926666617393494,0.9443333148956299,0.21332670748233795,0.9896666407585144
0.9369333386421204,0.2224685549736023,0.9907333254814148,0.9466666579246521,0.2239605039358139,0.9869999885559082
0.9576666951179504,0.16069233417510986,0.9958000183105469,0.9503333568572998,0.16465777158737183,0.9946666955947876
0.9560666680335999,0.16265708208084106,0.9941333532333374,0.9613333344459534,0.1693529188632965,0.9933333396911621
0.9516000151634216,0.18797162175178528,0.9922000169754028,0.9096666574478149,0.3873771131038666,0.9816666841506958
0.9585999846458435,0.15757085382938385,0.9947999715805054,0.9383333325386047,0.2776181101799011,0.9850000143051147
0.9649999737739563,0.130507692694664,0.9962666630744934,0.9283333420753479,0.27712926268577576,0.9836666584014893
0.9643333554267883,0.12873360514640808,0.9963333606719971,0.9459999799728394,0.23493418097496033,0.9906666874885559
0.9573333263397217,0.17885737121105194,0.9940666556358337,0.9440000057220459,0.24612705409526825,0.9869999885559082
0.9359333515167236,0.29398083686828613,0.9901999831199646,0.9616666436195374,0.17358025908470154,0.9940000176429749
0.9769999980926514,0.08532869815826416,0.997866690158844,0.9486666917800903,0.23552504181861877,0.9906666874885559
0.9708666801452637,0.1170354038476944,0.9963333606719971,0.9143333435058594,0.4861590266227722,0.9860000014305115
0.9607999920845032,0.1571640968322754,0.9939333200454712,0.949999988079071,0.19738657772541046,0.9900000095367432
