accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0.9711333513259888,0.10051588714122772,0.9918000102043152,0.9953333139419556,0.01440469454973936,1.0
0.9890666604042053,0.03440464660525322,0.9994666576385498,0.9959999918937683,0.0112526286393404,1.0
0.9903333187103271,0.02931675687432289,0.9995333552360535,0.9959999918937683,0.013481475412845612,0.999666690826416
0.9914000034332275,0.028468843549489975,0.9994666576385498,0.9976666569709778,0.007809249684214592,1.0
0.9937999844551086,0.022443415597081184,1.0,0.9976666569709778,0.005397559609264135,1.0
0.9936666488647461,0.021713407710194588,0.999666690826416,0.9983333349227905,0.00376450945623219,1.0
0.993399977684021,0.022200264036655426,0.9995999932289124,0.9986666440963745,0.005369893275201321,1.0
0.9936666488647461,0.027464423328638077,0.999666690826416,0.9980000257492065,0.006139521952718496,1.0
0.9935333132743835,0.02913106046617031,0.9998000264167786,0.9993333220481873,0.0033973914105445147,1.0
0.994866669178009,0.019634392112493515,0.9998666644096375,0.9980000257492065,0.008208367973566055,1.0
0.9936666488647461,0.029419103637337685,0.9998666644096375,0.9946666955947876,0.023600544780492783,1.0
0.9965333342552185,0.01722750812768936,0.9998666644096375,0.999666690826416,0.0014060249086469412,1.0
0.9955999851226807,0.025210728868842125,0.9995333552360535,0.9993333220481873,0.0040659611113369465,1.0
0.9965333342552185,0.01923491433262825,0.9999333620071411,0.9980000257492065,0.0040747784078121185,1.0
0.9965333342552185,0.01827067881822586,0.9998000264167786,0.9986666440963745,0.010170222260057926,1.0
